nombre,tipo_estudio,precio
"Drainage of Trigeminal Nerve, Open Approach, Diagnostic",biopsia,2846.4
"Restrict Com Bile Duct w Extralum Dev, Perc Endo",biopsia,8387.45
"Dilate of R Com Iliac Art with 2 Intralum Dev, Perc Approach",biopsia,8887.19
"Bypass R Ureter to R Ureter w Synth Sub, Perc Endo",citologia,28618.76
"Fusion L Temporomandib Jt w Autol Sub, Perc Endo",citologia,25813.07
"Extirpate matter from L Finger Phalanx, Perc Endo",biopsia,2765.96
"Restrict L Neck Lymph w Intralum Dev, Perc Endo",citologia,10854.05
"Revision of Nonaut Sub in L Toe Phalanx, Extern Approach",biopsia,4115.82
"Restrict Inf Vena Cava w Intralum Dev, Perc Endo",citologia,2097.4
"Fusion of T-lum Jt, Post Appr P Col, Perc Endo Approach",biopsia,23885.9
"Release Right Trunk Tendon, Percutaneous Approach",biopsia,4045.8
"Restrict of R Lacrml Duct with Intralum Dev, Open Approach",citologia,6108.26
"Extraction of L Trunk Bursa/Lig, Perc Endo Approach",biopsia,16572.99
"CT Scan of Abd using Oth Contrast, Unenh, Enhance",citologia,6709.06
"Drainage of Abdominal Wall, Percutaneous Approach, Diagn",citologia,25209.35
"Repair Right Thorax Tendon, Percutaneous Approach",citologia,23695.63
"Excision of Bilateral Carotid Bodies, Perc Approach, Diagn",citologia,21694.16
"Restrict of L Lacrml Duct with Extralum Dev, Open Approach",citologia,11731.07
"Drainage of R Brach Vein with Drain Dev, Perc Endo Approach",biopsia,1302.64
"Excision of Left Ovary, Endo, Diagn",biopsia,4982.83
"Control Bleeding in Neck, Open Approach",citologia,13703.23
"Destruction of Right Shoulder Tendon, Percutaneous Approach",biopsia,23334.88
"Insertion of Feeding Device into Small Intest, Open Approach",biopsia,22335.91
"Revision of Radioact Elem in Periton Cav, Extern Approach",biopsia,7383.04
"Restrict R Verteb Art w Bioact Intralum, Perc Endo",citologia,4946.95
"Reposition L Sphenoid Bone with Int Fix, Perc Endo Approach",citologia,14878.18
"Extraction of Right Hand Bursa and Ligament, Open Approach",citologia,22921.87
"Fusion of >7 T Jt, Post Appr A Col, Perc Endo Approach",biopsia,17111.19
"Bypass R Fem Art to R Femor A w Autol Vn, Perc Endo",citologia,11930.05
"Drainage of Left Foot with Drain Dev, Perc Endo Approach",biopsia,7006.54
"Transfer Vagus Nerve to Optic Nerve, Perc Endo Approach",biopsia,11512.18
"Bypass R Com Iliac Art to L Com Ilia w Synth Sub, Open",biopsia,3289.66
"Dilation of L Hypogast Vein with Intralum Dev, Perc Approach",citologia,29135.77
"Repair Pelvis Lymphatic, Percutaneous Approach",biopsia,24885.94
"Destruction of Left Hand Vein, Perc Endo Approach",biopsia,7167.93
"Extirpation of Matter from Right Humeral Head, Perc Approach",citologia,14191.21
"Replacement of Left Ulna with Synth Sub, Perc Endo Approach",citologia,4313.08
"Excision of Right Brachial Vein, Perc Approach, Diagn",citologia,21000.56
"Introduction of Insulin into Periph Art, Open Approach",biopsia,25403.12
"Insertion of Radioactive Element into Vagina, Open Approach",citologia,22133.05
"Insertion of Other Device into Fem Perineum, Perc Approach",biopsia,1081.84
"Muscle Perform Assess Neuro Head, Neck w Prosthesis",biopsia,24701.37
"Repair Male Perineum, Percutaneous Approach",citologia,4496.77
"Revision of Autol Sub in R Hip Jt, Perc Approach",biopsia,4357.59
"Replacement of R Ext Ear with Nonaut Sub, Open Approach",citologia,7153.11
Removal of Packing Material on Left Inguinal Region,biopsia,3123.38
"Bypass L Subclav Art to Bi Low Arm Art w Nonaut Sub, Open",biopsia,12200.3
"Revision of Nonaut Sub in R Carpal Jt, Perc Approach",biopsia,12267.0
"Drainage of Bilateral Lungs, Endo",biopsia,3363.46
"Resection of Left Hepatic Duct, Endo",biopsia,23928.11
"Supplement L Shoulder with Nonaut Sub, Perc Endo Approach",biopsia,9017.41
"Destruction of Brain, Percutaneous Endoscopic Approach",biopsia,24892.97
Stereotactic Gamma Beam Radiosurgery of Pharynx,biopsia,10865.09
"Repair Left Hip Muscle, Open Approach",citologia,16457.66
"Revision of Nonaut Sub in R Fibula, Open Approach",citologia,13042.07
"Tendons, Inspection",citologia,8610.58
"Bypass Sigmoid Colon to Rectum, Perc Endo Approach",citologia,1076.43
"Restriction of Left Internal Iliac Artery, Open Approach",biopsia,5125.77
"Removal of Monitoring Device from Lower Vein, Perc Approach",citologia,25281.68
"Repair Trochlear Nerve, Percutaneous Approach",citologia,11141.12
"Transfer Right Neck Muscle with Subcu, Open Approach",biopsia,10082.09
"Transfer Trochlear Nerve to Facial Nerve, Open Approach",biopsia,13509.69
"Supplement Left Ventricle with Synth Sub, Perc Endo Approach",biopsia,3435.27
"CT Scan of L Eye using Oth Contrast, Unenh, Enhance",citologia,14799.57
Muscle Performance Treatment of Musculosk Whole,biopsia,27173.49
"Excision of Right Clavicle, Open Approach, Diagnostic",biopsia,25327.3
"Resection of Right Radius, Open Approach",biopsia,23631.25
"Drainage of Right Testis, Percutaneous Endoscopic Approach",citologia,19506.29
"Bypass Pulm Trunk from Subclav w Autol Vn, Perc Endo",biopsia,5888.57
Removal of Cast on Neck,biopsia,23318.64
"Supplement L Temporomandib Jt with Nonaut Sub, Open Approach",biopsia,8162.68
"Muscle Performance Assessment of Integu Head, Neck",biopsia,19183.81
"Restrict R Com Iliac Vein w Intralum Dev, Perc",biopsia,25521.85
"Removal of Infusion Dev from Retroperitoneum, Perc Approach",citologia,7724.6
"Insert Intralum Dev in Hemiazygos Vein, Perc Endo",citologia,5488.67
"Detachment at Right Hand, Complete 3rd Ray, Open Approach",citologia,1678.15
"Supplement Nasal Bone with Nonaut Sub, Open Approach",biopsia,16011.71
"Drainage of R Up Arm Subcu/Fascia, Open Approach",citologia,8853.09
"Fusion 2-4 L Jt w Synth Sub, Post Appr P Col, Perc Endo",citologia,25896.79
"Excision of R Low Leg Muscle, Perc Endo Approach, Diagn",citologia,13725.93
"Insertion of Limb Length Dev into L Tibia, Open Approach",biopsia,23508.32
"Occlusion of R Com Carotid with Extralum Dev, Perc Approach",citologia,25375.48
"Dilation of L Ext Iliac Art with 4 Drug-elut, Perc Approach",biopsia,13439.52
"Restrict L Ext Iliac Vein w Intralum Dev, Perc",citologia,15185.53
"Beam Radiation of Chest using Electrons, Intraoperative",biopsia,28033.53
"Bypass L Kidney Pelvis to R Ureter w Nonaut Sub, Open",biopsia,14006.2
"Introduce Monoclonal Antibody in Bil/Panc Tract, Perc",citologia,5855.08
"Excision of Left Upper Lung Lobe, Perc Endo Approach, Diagn",citologia,15249.59
"Removal of Drainage Device from L Carpal Jt, Extern Approach",biopsia,8926.03
"Removal of Extraluminal Device from Urethra, Endo",citologia,3144.13
"Excision of Head, Percutaneous Approach",citologia,7452.88
"Insertion of Infusion Dev into L Low Leg, Perc Endo Approach",citologia,18791.93
Beam Radiation of Sternum using Photons >10 MeV,biopsia,20465.82
"Extirpation of Matter from R Metacarpal, Perc Endo Approach",citologia,23728.64
"Muscle Perform Trmt Musculosk Head, Neck w Assist Equip",biopsia,18936.04
"Supplement Ant Neck Subcu/Fascia w Autol Sub, Perc",biopsia,23487.24
"Reposition Left Humeral Shaft with Ext Fix, Open Approach",citologia,9157.18
"Nonimag Nucl Med Prob Musculo Sys, Oth w Oth Radionuclide",biopsia,13671.19
"Dilate R Ext Carotid w Intralum Dev, Perc Endo",citologia,26459.62
"Division of Left Tibia, Percutaneous Approach",biopsia,29645.82
"Introduction of Analg/Hypnot/Sedat into Eye, Perc Approach",biopsia,22498.56
"Reposition Left Radius with Ext Fix, Perc Approach",biopsia,14280.42
"Insertion of Infusion Device into Face Artery, Perc Approach",citologia,21806.52
Removal of Brace on Left Toe,citologia,5062.86
"Occlusion of Trachea with Intraluminal Device, Via Opening",biopsia,1371.18
Other Specified Central Auditory Processing Assessment,citologia,7805.8
"Revision of Nonaut Sub in Penis, Open Approach",biopsia,20691.25
Aerobic Cap/Endur Assess Resp Body w Aerobic Equip,biopsia,28449.83
"Change Other Device in Trachea, External Approach",biopsia,18317.17
"Inspection of Left Upper Extremity, Perc Endo Approach",citologia,23262.76
"Insertion of Monitor Dev into R Pulm Art, Perc Endo Approach",biopsia,12238.82
"Release Left Nipple, Via Natural or Artificial Opening",biopsia,15048.74
"Supplement R Abd Muscle with Synth Sub, Open Approach",biopsia,27503.16
"Introduce of Oth Anti-infect into Periph Vein, Perc Approach",citologia,12524.32
"Insertion of Int Fix into Coccyx, Perc Endo Approach",citologia,17238.91
"Revision of Ext Fix in R Carpal, Perc Approach",biopsia,3887.14
"Transplantation of Oth Body Sys into POC, Perc Endo Approach",biopsia,12081.95
"Supplement Left Scapula with Nonaut Sub, Perc Approach",citologia,2669.6
"Bypass Duodenum to Ileum with Autol Sub, Endo",citologia,23824.95
"Inspection of Bilateral Femoral Region, Open Approach",biopsia,6402.54
"Supplement Bi Femoral Region w Nonaut Sub, Perc Endo",biopsia,29786.25
Packing of Left Hand using Packing Material,biopsia,4289.22
"Drainage of Pineal Body with Drainage Device, Perc Approach",citologia,7471.56
"Drainage of Neck with Drainage Device, Percutaneous Approach",citologia,25883.27
"Replacement of R Pelvic Bone with Synth Sub, Perc Approach",biopsia,23727.1
"Bypass Esophageal Vein to Low Vein w Autol Vn, Perc Endo",biopsia,27216.5
LDR Brachytherapy of Oropharynx using Palladium 103,biopsia,29825.87
"Removal of Cardiac Lead from Heart, Percutaneous Approach",citologia,17740.26
"Bypass 1 Cor Art from Cor V w Intralum Dev, Perc Endo",biopsia,14033.91
"Extirpation of Matter from Larynx, Endo",citologia,6629.71
"Drainage of Right Radius, Open Approach, Diagnostic",citologia,14873.1
"Resection of Left Ethmoid Bone, Open Approach",biopsia,23048.13
"Fusion of Occip Jt, Post Appr P Col, Perc Approach",biopsia,27980.78
"Destruction of Left Foot Bursa and Ligament, Perc Approach",citologia,23621.01
"Introduction of Local Anesthetic into POC, Perc Approach",biopsia,20266.79
"Supplement L Seminal Vesicle with Nonaut Sub, Open Approach",citologia,15661.1
"Bypass Left Femoral Artery to Peroneal Artery, Open Approach",biopsia,9934.25
"Supplement L Less Saphenous with Autol Sub, Open Approach",citologia,12968.9
Exercise Trmt Integu Up Back/UE w Mech/Electromech Equip,citologia,7974.33
"Occlusion of Right Femoral Artery, Open Approach",biopsia,23568.71
"Excision of Right Foot Artery, Percutaneous Approach",citologia,25360.92
"Revision of Intraluminal Device in Left Eye, Endo",citologia,4882.74
"Insertion of Radioactive Element into R Lung, Perc Approach",biopsia,13042.48
Plain Radiography of Right Kidney using H Osm Contrast,biopsia,6855.35
"Excision of Superior Mesenteric Vein, Perc Endo Approach",biopsia,5286.27
"Drainage of Pelvis Lymphatic, Percutaneous Approach",citologia,6084.22
"Control Bleeding in Left Upper Arm, Perc Endo Approach",citologia,16759.12
"Dilation of Right Large Intestine, Via Opening",citologia,14523.55
"Reposition Sigmoid Colon, Percutaneous Endoscopic Approach",citologia,28923.29
"Drainage of Cystic Duct, Perc Endo Approach, Diagn",biopsia,16357.75
"Insertion of Int Fix into R Knee Jt, Open Approach",citologia,29943.61
"Supplement T-lum Disc with Nonaut Sub, Perc Endo Approach",citologia,21212.7
"Bypass Descend Colon to Desc Colon w Synth Sub, Open",biopsia,9422.13
"Drainage of Lower Esophagus, Percutaneous Approach, Diagn",citologia,3780.87
"Release L Low Leg Subcu/Fascia, Extern Approach",biopsia,4749.6
"Drainage of Right Kidney Pelvis with Drainage Device, Endo",biopsia,23220.62
"Dilation of Low Art, Bifurc, with 2 Drug-elut, Open Approach",biopsia,2575.12
"Excision of Right Pelvic Bone, Open Approach",biopsia,23929.32
"Supplement of Left Eye with Autol Sub, Perc Approach",biopsia,10559.45
"Release Left Pulmonary Artery, Perc Endo Approach",biopsia,26100.12
"Bypass 2 Cor Art from Aorta with Zooplastic, Open Approach",citologia,15525.85
"Replacement of L Low Eyelid with Synth Sub, Perc Approach",citologia,5567.07
"Excision of Cervix, Percutaneous Endoscopic Approach",biopsia,6620.0
"Excision of Cervical Nerve, Open Approach, Diagnostic",citologia,13565.44
"Dilation of L Thyroid Art with Intralum Dev, Open Approach",biopsia,3747.5
"Supplement Right Nipple with Synth Sub, Via Opening",citologia,14908.88
"Dilate L Axilla Art w 2 Intralum Dev, Perc Endo",biopsia,23291.95
"Extirpate of Matter from L Thyroid Lobe, Perc Endo Approach",citologia,13064.19
"Measurement of Arterial Sound, Peripheral, Perc Approach",citologia,18730.83
"Dilation of Hepatic Art with 4 Drug-elut, Perc Endo Approach",citologia,2126.57
"Bypass R Fem Art to Foot Art with Autol Art, Open Approach",citologia,12348.68
"MRI of L Kidney using Oth Contrast, Unenh, Enhance",biopsia,15124.66
"Supplement Right Ureter with Autol Sub, Endo",citologia,24883.53
"Bypass Cystic Duct to R Hep Duc w Intralum Dev, Perc Endo",biopsia,20418.79
"Revision of Autol Sub in R Fibula, Open Approach",citologia,23071.32
"Reposition Left Ethmoid Bone, Percutaneous Approach",citologia,28164.42
Low Dose Rate (LDR) Brachytherapy of Chest using Iodine 125,biopsia,9244.44
"Removal of Ext Fix from L Low Femur, Perc Endo Approach",citologia,17397.88
"Destruction of Left Temporal Bone, Percutaneous Approach",citologia,14381.2
"Insert Singl Chan Cochl Prosth in L Inner Ear, Perc Endo",citologia,3563.07
"Repair Facial Nerve, Percutaneous Endoscopic Approach",biopsia,19405.1
"Revision of Nonaut Sub in Skull, Open Approach",citologia,12608.32
Plain Radiography of Left Hip,citologia,5801.19
"Insertion of Infusion Device into Abd Aorta, Perc Approach",biopsia,2369.31
"Bypass L Axilla Art to L Up Arm Art w Autol Art, Open",citologia,16458.01
"Fusion of R Metatarsophal Jt with Synth Sub, Perc Approach",citologia,20729.78
"Destruction of Occipital-cervical Joint, Perc Endo Approach",citologia,16655.25
"Reattachment of Left Abdomen Tendon, Open Approach",biopsia,23667.32
"Bypass Common Bile Duct to Stomach, Open Approach",biopsia,7176.26
"Change Other Device in Left Ear, External Approach",citologia,26799.56
"Bypass R Femor Vein to Low Vein with Autol Vn, Open Approach",citologia,17567.04
"Release Right Upper Lobe Bronchus, Perc Endo Approach",citologia,3014.06
"Revise of Infusion Dev in Male Perineum, Perc Endo Approach",biopsia,29807.86
"Release Cervicothoracic Vertebral Disc, Open Approach",biopsia,2327.18
"Inspection of Left Buttock, Open Approach",biopsia,12626.83
Motor Function Treatment of Musculosk Up Back/UE,citologia,25507.92
"Reposition Right Testis, Percutaneous Approach",citologia,24140.61
"Change Drainage Device in L Low Extrem, Extern Approach",biopsia,5692.01
"Supplement R Abd Tendon with Autol Sub, Open Approach",biopsia,4420.92
"Alteration of Upper Back with Nonaut Sub, Perc Endo Approach",citologia,25932.83
"Drainage of Right Foot Skin, External Approach, Diagnostic",biopsia,5299.27
"Removal of Autol Sub from R Temporomandib Jt, Perc Approach",citologia,23253.4
Plain Radiography of Left External Carotid Artery,citologia,8281.99
"Revision of Infusion Device in Thor Disc, Open Approach",biopsia,3309.82
"Division of Left Humeral Shaft, Perc Endo Approach",biopsia,28304.02
"Excision of Finger Nail, External Approach",citologia,20817.38
"Individual Psychotherapy, Supportive",citologia,22960.73
"Extirpation of Matter from Thor Jt, Open Approach",citologia,8006.46
"Fluoroscopy of Inf Vena Cava using L Osm Contrast, Guidance",citologia,19414.93
"Insert of Intralum Dev into Thor Aorta Desc, Perc Approach",citologia,17688.31
"Replacement of R Low Femur with Autol Sub, Perc Approach",citologia,27000.94
"Release Left Eye, External Approach",biopsia,20224.27
"Occlusion of Anus with Extralum Dev, Perc Endo Approach",biopsia,11498.17
"Dilate Intracran Art, Bifurc, w Drug-elut Intra, Open",biopsia,27546.95
"Supplement L Ext Iliac Vein with Synth Sub, Open Approach",biopsia,1339.44
"Reposition Left Upper Femur with Int Fix, Perc Approach",biopsia,25424.16
"Replacement of R Maxilla with Synth Sub, Perc Endo Approach",biopsia,13468.02
"Excision of Median Nerve, Percutaneous Approach, Diagnostic",citologia,11029.93
"Insertion of Radioact Elem into Low Jaw, Perc Endo Approach",biopsia,10366.58
"Drainage of Right Lacrimal Duct, Open Approach, Diagnostic",citologia,22377.46
"Reposition Right Lower Eyelid, Percutaneous Approach",citologia,20019.43
"Supplement Left Hand Artery with Autol Sub, Perc Approach",citologia,16922.87
"Monitor Peripheral Nervous Conductivity, Sensory, Open",citologia,11890.69
"Drainage of Peritoneal Cavity, Open Approach",citologia,9070.84
"Drainage of Chest Skin with Drainage Device, Extern Approach",citologia,17717.8
"Revision of Artificial Sphincter in Bladder, Via Opening",citologia,29147.99
"Occlusion of Innom Art with Intralum Dev, Perc Approach",biopsia,12957.76
"Excision of Left Knee Bursa and Ligament, Open Approach",biopsia,27839.58
"Fluoroscopy Bi Verteb Art w H Osm Contrast, Laser Intraop",citologia,18137.4
"Supplement Right Hand Tendon with Autol Sub, Open Approach",citologia,15854.81
"Bypass Cereb Vent to Mastoid Sinus w Autol Sub, Perc",citologia,22896.82
Packing of Right Thumb using Packing Material,citologia,12506.99
"Replace of L Glenoid Cav with Autol Sub, Perc Endo Approach",citologia,12159.39
"Supplement R Main Bronc with Nonaut Sub, Perc Endo Approach",biopsia,27959.45
"Restrict of L Subclav Art with Intralum Dev, Open Approach",citologia,7685.31
"Removal of Ext Fix from R Metacarpophal Jt, Extern Approach",biopsia,25308.77
"Reposition Left Thumb Phalanx with Ext Fix, Perc Approach",citologia,11635.54
"Excision of Para-aortic Body, Open Approach",biopsia,5338.24
"Repair Lower Lip, Open Approach",biopsia,1522.15
"Destruction of Bladder Neck, Percutaneous Approach",biopsia,27003.59
"Repair Right Sphenoid Sinus, Open Approach",biopsia,24830.75
"MRI of R Low Extrem Art using Oth Contrast, Unenh, Enhance",citologia,9299.35
"Supplement R Mid Lobe Bronc w Nonaut Sub, Perc Endo",citologia,22162.57
"Bypass R Int Iliac Art to R Int Ilia w Autol Vn, Open",biopsia,23861.57
"Removal of Int Fix from Lumsac Jt, Perc Endo Approach",biopsia,2418.32
"Repair Left Neck Muscle, Open Approach",biopsia,1296.87
"Occlusion R Neck Lymph w Extralum Dev, Perc Endo",citologia,9594.61
"Bypass 4+ Cor Art from R Int Mammary w Autol Vn, Open",citologia,17931.84
"Drainage of Right Humeral Shaft, Perc Approach, Diagn",biopsia,9721.47
"Drainage of Left Shoulder Tendon, Percutaneous Approach",citologia,23578.61
"Occlusion R Int Iliac Art w Extralum Dev, Perc",citologia,9763.01
"Bypass R Pleural Cav to Low Vein w Synth Sub, Perc Endo",citologia,18050.78
"Fusion Cerv Jt w Autol Sub, Post Appr A Col, Open",citologia,28602.03
"Replace R Foot Skin w Autol Sub, Part Thick, Extern",citologia,3551.24
"Replace of L Ext Iliac Vein with Synth Sub, Open Approach",citologia,13954.91
LDR Brachytherapy of Spinal Cord using Oth Isotope,citologia,19629.69
"Drainage of Right Femoral Shaft, Open Approach, Diagnostic",biopsia,2483.72
"Extirpation of Matter from Anus, Percutaneous Approach",citologia,27821.29
"Extraction of Right Sphenoid Sinus, Percutaneous Approach",biopsia,29223.37
CT Scan of Abd Aorta using L Osm Contrast,citologia,16608.4
"Excision of Cecum, Percutaneous Approach",biopsia,20254.85
"Reposition Rectum, Endo",citologia,11569.83
"Revision of Autol Sub in R Humeral Shaft, Open Approach",biopsia,12559.92
"Bypass Common Bile Duct to Caud Duct, Perc Endo Approach",biopsia,5407.63
"Restriction of Hepatic Vein, Percutaneous Approach",citologia,17757.02
"Revise of Nonaut Sub in L Acromioclav Jt, Perc Endo Approach",biopsia,8131.27
"Excision of R Tunica Vaginalis, Perc Endo Approach, Diagn",citologia,17371.38
"Removal of Autol Sub from L Scapula, Open Approach",citologia,11034.02
"Drainage of Splenic Artery, Percutaneous Endoscopic Approach",citologia,25794.46
"Excision of Right Lower Leg, Open Approach",biopsia,10627.9
"Dilate of L Int Mamm Art with 4+ Intralum Dev, Open Approach",biopsia,9007.55
"Bypass R Ureter to Ileocutan w Autol Sub, Perc Endo",biopsia,7418.71
"Transplantation of Eye into POC, Perc Approach",biopsia,11050.25
"Fluoroscopy of Other Veins using Other Contrast, Guidance",citologia,22173.03
"Repair Pancreatic Duct, Percutaneous Approach",citologia,17171.25
"Bypass R Ext Iliac Art to L Ext Ilia w Synth Sub, Open",citologia,26682.13
"Bypass L Com Iliac Art to B Com Ilia, Perc Endo Approach",citologia,27782.94
"Removal of Drainage Device from Abd Wall, Perc Approach",citologia,3331.87
"Supplement R Axilla Lymph with Synth Sub, Open Approach",biopsia,1880.93
"Insertion of Monitoring Device into Ileum, Open Approach",biopsia,3963.45
"Excision of Left Hepatic Duct, Via Opening, Diagn",biopsia,17677.43
"Supplement R Subclav Vein with Autol Sub, Perc Endo Approach",biopsia,11058.06
"Insert Radioact Elem in Pericard Cav, Perc Endo",citologia,21403.07
"Irrigation of Fem Reprod using Irrigat, Via Opening, Diagn",biopsia,27230.27
"Excision of Left Ureter, Percutaneous Approach",biopsia,5863.2
"Fusion 2-4 L Jt w Intbd Fus Dev, Ant Appr A Col, Perc",biopsia,21717.64
"Imaging, Male Reproductive System, Fluoroscopy",citologia,7133.67
Compression of Neck using Pressure Dressing,citologia,16042.22
"Supplement Abducens Nerve with Autol Sub, Open Approach",citologia,17103.37
"Revision of Synth Sub in Cranial Cav, Open Approach",biopsia,6412.36
"Repair Left Ankle Joint, Percutaneous Endoscopic Approach",citologia,9622.36
"Ultrasonography of Right Upper Extremity Veins, Guidance",citologia,5336.25
"Dilation of 4+ Cor Art with 3 Drug-elut, Perc Approach",biopsia,7544.13
"Replace of Chordae Tendineae with Zooplastic, Open Approach",citologia,5517.28
"Introduce Autol Somat Stem Cell in Cran Cav/Brain, Open",biopsia,3207.55
"Repair Left Eustachian Tube, Via Opening",biopsia,10099.17
"Reposition Left Axillary Artery, Percutaneous Approach",biopsia,18010.28
"Drainage of Right Hand Tendon, Percutaneous Approach, Diagn",citologia,25186.46
"Release Radial Nerve, Percutaneous Endoscopic Approach",biopsia,19080.84
"Bypass Right Brachial Vein to Upper Vein, Perc Endo Approach",biopsia,22487.37
"Drainage of Prepuce with Drainage Device, Perc Endo Approach",citologia,2461.63
"Dilation of R Int Iliac Art with Intralum Dev, Perc Approach",citologia,7502.68
"Removal of Nonaut Sub from R Ankle Jt, Perc Endo Approach",citologia,9347.58
"Extirpation of Matter from Lumbar Nerve, Perc Approach",biopsia,3695.93
"Insertion of Intralum Dev into R Subclav Vein, Open Approach",biopsia,29406.85
"Excision of Left Pulmonary Artery, Perc Endo Approach",biopsia,18043.49
"Fusion of Right Hip Joint with Autol Sub, Perc Endo Approach",biopsia,7169.55
"Supplement Left Ring Finger with Autol Sub, Open Approach",citologia,12764.7
"Supplement L Thorax Bursa/Lig w Synth Sub, Perc Endo",biopsia,17042.76
"Drainage of Left Trunk Tendon with Drain Dev, Open Approach",biopsia,1168.63
"Insertion of Int Fix into L Metatarsotars Jt, Perc Approach",citologia,1249.21
"Drainage of R Metacarpophal Jt, Open Approach, Diagn",citologia,10196.01
Radiography of Renal Art Transplant using H Osm Contrast,biopsia,1559.94
Eustachian Tube Function Assessment,biopsia,8933.08
"Reposition Left Radius with Intramed Fix, Open Approach",citologia,21682.28
"Revision of Drainage Device in Thymus, Perc Endo Approach",citologia,22142.76
"Introduce of Nitric Oxide Gas into Resp Tract, Via Opening",biopsia,15378.93
"Alteration of Right External Ear, Open Approach",biopsia,27802.46
"Replacement of Nose with Nonaut Sub, Open Approach",biopsia,15584.66
"Removal of Infusion Dev from Scrotum & Tunica, Perc Approach",biopsia,6603.85
"Removal of Drainage Device from T-lum Jt, Open Approach",biopsia,19754.64
"Revision of Synth Sub in R Ulna, Perc Endo Approach",biopsia,19179.08
"Bypass L Subclav Art to Bi Low Arm Art w Autol Art, Open",citologia,15827.27
"Supplement Lumbosacral Joint with Nonaut Sub, Perc Approach",citologia,1899.02
"Subcutaneous Tissue and Fascia, Repair",biopsia,16925.01
"Reposition Esophageal Vein, Percutaneous Approach",biopsia,25461.34
"Drainage of Median Nerve with Drain Dev, Perc Endo Approach",biopsia,25296.62
Plain Radiography of B Tracheobronc Tree using Oth Contrast,biopsia,29671.26
"Release Occipital-cervical Joint, Percutaneous Approach",citologia,19583.21
"Division of R Up Arm Subcu/Fascia, Perc Approach",citologia,3343.37
"Drainage of Right Frontal Sinus, Perc Approach, Diagn",biopsia,14492.51
"Revision of Intraluminal Device in Pancreatic Duct, Endo",citologia,11140.67
"Repair Right Knee Region, Percutaneous Endoscopic Approach",citologia,1512.32
Magnetic Resonance Imaging (MRI) of Bi Up Extrem Vein,citologia,26154.0
"Transfuse Autol Bone Marrow in Central Art, Open",biopsia,14458.87
"Repair Left Foot Vein, Open Approach",citologia,9476.79
"Drainage of Right Zygomatic Bone, Perc Endo Approach, Diagn",citologia,9425.73
Beam Radiation of Leg Skin using Photons >10 MeV,citologia,19090.55
"Repair Left Tunica Vaginalis, Perc Endo Approach",citologia,28157.62
"Drainage of Median Nerve, Percutaneous Approach",citologia,7434.03
"Repair Left Hand Bursa and Ligament, Percutaneous Approach",citologia,18643.49
"Revision of Drainage Device in Mouth and Throat, Via Opening",biopsia,5683.52
Planar Nucl Med Imag of Pelvis using Technetium 99m,citologia,20784.29
"Destruction of Uterus, Via Natural or Artificial Opening",citologia,20799.36
"Drainage of Left Patella, Percutaneous Approach",citologia,27985.33
"Dilate L Int Mamm Art w 4 Drug-elut, Perc Endo",biopsia,27223.74
Radiography of Bi Abd/Retroperit Lymph using Oth Contrast,biopsia,27773.36
Motor Functn Trmt Integu Low Back/LE w Assist Equip,biopsia,8401.65
"Robotic Assisted Procedure of Upper Extremity, Open Approach",citologia,16944.83
"Insertion of Infusion Dev into T-lum Jt, Perc Endo Approach",citologia,27451.14
"Dilate L Ext Carotid, Bifurc, w 4+ Intralum Dev, Open",biopsia,18053.03
"Dilate R Verteb Art, Bifurc, w 2 Intralum Dev, Perc",biopsia,28898.06
"Excision of Right Middle Lung Lobe, Via Opening",citologia,14642.03
"Repair Right Renal Vein, Percutaneous Endoscopic Approach",citologia,21087.27
"Excision of Cerebral Meninges, Open Approach",citologia,29012.07
"Bypass Left Common Iliac Artery to R Renal A, Open Approach",citologia,12777.93
"Insertion of Limb Length Dev into R Ulna, Open Approach",citologia,11590.55
"Reposition Left Elbow Joint, Perc Endo Approach",citologia,22520.01
"Excision of Splenic Artery, Open Approach",citologia,3529.35
"Bypass R Subclav Art to R Extracran Art w Autol Vn, Open",biopsia,20123.7
"Drainage of Right Vocal Cord, Endo",citologia,12154.86
"Dilate L Thyroid Art w Intralum Dev, Perc Endo",biopsia,9685.2
"Introduce Monoclonal Antibody in Bil/Panc Tract, Via Opening",citologia,28431.29
"Introduction of Analg/Hypnot/Sedat into Low GI, Endo",citologia,1160.71
"Revision of Autol Sub in Thor Disc, Extern Approach",biopsia,16452.77
"Restriction of Right Ureter with Intralum Dev, Open Approach",citologia,27205.59
"Excision of Right Greater Saphenous Vein, Perc Approach",biopsia,5847.55
"Revision of Intraluminal Device in L Ear, Perc Endo Approach",citologia,23295.03
"Release Left Foot Muscle, Percutaneous Endoscopic Approach",citologia,19749.29
"Supplement Right Tibia with Nonaut Sub, Open Approach",citologia,15138.31
"Inspection of Right Lung, Open Approach",citologia,2183.84
"Occlusion of R Brach Art with Intralum Dev, Perc Approach",biopsia,28549.59
"Replacement of L Fem Art with Autol Sub, Open Approach",biopsia,21065.04
"Drainage of Brain with Drainage Device, Perc Approach",citologia,4808.66
"Repair Right Metatarsal, Percutaneous Endoscopic Approach",citologia,8354.71
"Revision of Autol Sub in L Tympanic Membrane, Via Opening",citologia,2367.05
"Bypass Left Femoral Artery to Poplit Art, Perc Endo Approach",biopsia,16028.46
"Bypass R Basilic Vein to Up Vein w Autol Art, Open",biopsia,22539.24
